"Informazioni cronologiche","Quale categoria di app utilizzi maggiormente?","In quali momenti della giornata utilizzi maggiormente lo smartphone? ","Quante ore al giorno usi lo smartphone?","In che misura l’uso dello smartphone ha un impatto sulla gestione delle tue attività quotidiane o dei tuoi impegni?","Hai notato se alcune notifiche ti fanno mettere in pausa quello che stai facendo? se sì, quali?","Che tipo di suggerimenti ti piacerebbe ricevere dall'app?","Ti capita mai di renderti conto che il tempo sullo smartphone è passato più velocemente di quanto pensavi?","In alcune occasioni, l’uso dello smartphone ha modificato i tuoi tempi o le tue priorità durante la giornata?","Durante i pasti, riponi lo smartphone sul tavolo?","Commenti e suggerimenti"
"2025/06/16 11:37:06 PM EEST","Streaming (Youtube, Netflix, Dazn,...)","Al mattino;Prima di dormire","1-3 ore al giorno","Poco","Giochi o app di intrattenimento","Suggerimenti predefiniti","Qualche volta","Si","No",""
"2025/06/16 11:48:08 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Prima di dormire","1-3 ore al giorno","Poco","Messaggi o chat","Seleziona tu i tuoi interessi","Spesso","No","Si",""
"2025/06/17 12:50:24 AM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause;Prima di dormire","3-5 ore al giorno","Abbastanza","Messaggi o chat","Sfide o missioni giornaliere","Spesso","Si","Si",""
"2025/06/17 1:44:20 AM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause;Durante i pasti;Prima di dormire","1-3 ore al giorno","Abbastanza","Messaggi o chat;Promemoria o avvisi di calendario","Seleziona tu i tuoi interessi","Spesso","Si","No",""
"2025/06/17 7:18:04 AM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Al mattino;Durante le pause;Prima di dormire","5+ ore al giorno","Abbastanza","Notifiche dai social;Messaggi o chat;Promemoria o avvisi di calendario","Sfide o missioni giornaliere","Spesso","Si","No",""
"2025/06/17 7:33:07 AM EEST","Messaggistica (Whatsapp, Telegram, ...)","Durante le pause","1-3 ore al giorno","Abbastanza","Messaggi o chat","Seleziona tu i tuoi interessi","Qualche volta","No","Si",""
"2025/06/17 8:53:18 AM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause","1-3 ore al giorno","Molto","Notifiche dai social","Seleziona tu i tuoi interessi","Spesso","Si","Si",""
"2025/06/17 9:00:34 AM EEST","Messaggistica (Whatsapp, Telegram, ...)","Durante le pause","3-5 ore al giorno","Molto","Messaggi o chat","Suggerimenti predefiniti","Spesso","No","Si",""
"2025/06/17 10:06:08 AM EEST","Messaggistica (Whatsapp, Telegram, ...)","Durante le pause;Durante i pasti","1-3 ore al giorno","Abbastanza","Messaggi o chat;E-mail","Sfide o missioni giornaliere;Seleziona tu i tuoi interessi","Qualche volta","Si","Si",""
"2025/06/17 10:16:08 AM EEST","Streaming (Youtube, Netflix, Dazn,...)","Durante le pause;Durante i pasti","1-3 ore al giorno","Abbastanza","Notifiche dai social;Messaggi o chat","Sfide o missioni giornaliere","Qualche volta","Si","Si",""
"2025/06/17 10:34:48 AM EEST","Messaggistica (Whatsapp, Telegram, ...)","Durante le pause","3-5 ore al giorno","Poco","Messaggi o chat","Seleziona tu i tuoi interessi","Qualche volta","No","No",""
"2025/06/17 10:53:54 AM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause;Prima di dormire","5+ ore al giorno","Abbastanza","Messaggi o chat","Sfide o missioni giornaliere;Suggerimenti predefiniti;Seleziona tu i tuoi interessi","Sempre","Si","No",""
"2025/06/17 11:08:19 AM EEST","Streaming (Youtube, Netflix, Dazn,...)","Durante le pause;Prima di dormire","3-5 ore al giorno","Abbastanza","Messaggi o chat;Promemoria o avvisi di calendario","Suggerimenti predefiniti","Spesso","Si","No","No"
"2025/06/17 11:10:50 AM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Al mattino;Durante le pause","5+ ore al giorno","Abbastanza","Messaggi o chat;Giochi o app di intrattenimento","Sfide o missioni giornaliere","Spesso","Si","No",""
"2025/06/17 11:16:52 AM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause","3-5 ore al giorno","Abbastanza","Messaggi o chat","Seleziona tu i tuoi interessi","Sempre","Si","Si","La funzione “full-immersion” spesso aiuta a distaccarmi dallo smartphone, ma sarebbe più bello se fosse ottimizzata in maniera più pratica."
"2025/06/17 4:27:34 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Durante le pause","3-5 ore al giorno","Abbastanza","Messaggi o chat","Sfide o missioni giornaliere;Suggerimenti predefiniti","Spesso","Si","Si",""
"2025/06/17 4:27:47 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause","3-5 ore al giorno","Molto","Notifiche dai social;Messaggi o chat;Promemoria o avvisi di calendario","Sfide o missioni giornaliere;Suggerimenti predefiniti;Seleziona tu i tuoi interessi","Spesso","Si","No",""
"2025/06/17 4:30:00 PM EEST","Streaming (Youtube, Netflix, Dazn,...)","Al mattino;Prima di dormire","1-3 ore al giorno","Molto","No","Seleziona tu i tuoi interessi","Spesso","No","Si",""
"2025/06/17 4:31:29 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause;Prima di dormire","3-5 ore al giorno","Abbastanza","Messaggi o chat","Sfide o missioni giornaliere","Qualche volta","No","No",""
"2025/06/17 4:34:10 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Al mattino;Durante le pause;Prima di dormire","3-5 ore al giorno","Molto","Notifiche dai social;Messaggi o chat;Giochi o app di intrattenimento;Promemoria o avvisi di calendario","Suggerimenti predefiniti","Spesso","Si","No",""
"2025/06/17 4:36:03 PM EEST","Streaming (Youtube, Netflix, Dazn,...)","Durante le pause","3-5 ore al giorno","Molto","Messaggi o chat","Seleziona tu i tuoi interessi","Spesso","Si","Si",""
"2025/06/17 5:06:38 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Durante le pause","3-5 ore al giorno","Molto","Messaggi o chat","Seleziona tu i tuoi interessi","Qualche volta","No","No",""
"2025/06/17 5:21:07 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Durante le pause;Durante i pasti","5+ ore al giorno","Abbastanza","Messaggi o chat","Seleziona tu i tuoi interessi","Qualche volta","Si","Si","Un consiglio che vorrei esprimere è di porre qualche limite all’uso giornaliero dello smartphone su app o attività si svago. "
"2025/06/17 5:28:49 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Durante le pause;Prima di dormire","3-5 ore al giorno","Abbastanza","Messaggi o chat;Promemoria o avvisi di calendario","Sfide o missioni giornaliere;Suggerimenti predefiniti","Qualche volta","No","Si","Utilizzo internet da metà anni 90, ed i social da prima di facebook. Utilizzo il telefono come uno strumento: É la mia radio, il mio calendario, la mia lista della spesa, il mio contapassi. Il fattore è usare gli strumenti, non essere usati. "
"2025/06/17 5:30:12 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante i pasti","5+ ore al giorno","Abbastanza","Messaggi o chat","Seleziona tu i tuoi interessi","Sempre","Si","No",""
"2025/06/17 5:48:34 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Durante le pause","Meno di un'ora al giorno","Abbastanza","Messaggi o chat","Sfide o missioni giornaliere","Mai","No","No",""
"2025/06/17 6:04:21 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Al mattino;Durante le pause;Durante i pasti;Prima di dormire","3-5 ore al giorno","Abbastanza","Messaggi o chat","Suggerimenti predefiniti","Qualche volta","Si","No",""
"2025/06/17 6:54:35 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause;Prima di dormire","1-3 ore al giorno","Molto","Messaggi o chat;Promemoria o avvisi di calendario","Seleziona tu i tuoi interessi","Spesso","Si","No",""
"2025/06/17 7:31:36 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Al mattino;Durante le pause;Prima di dormire","3-5 ore al giorno","Abbastanza","Messaggi o chat","Sfide o missioni giornaliere","Sempre","Si","Si",""
"2025/06/17 7:36:08 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Al mattino","1-3 ore al giorno","Poco","Messaggi o chat","Sfide o missioni giornaliere","Qualche volta","No","Si",""
"2025/06/17 7:36:35 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Al mattino;Durante le pause;Durante i pasti;Prima di dormire","3-5 ore al giorno","Molto","Messaggi o chat","Sfide o missioni giornaliere","Qualche volta","Si","Si",""
"2025/06/17 7:37:14 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause","5+ ore al giorno","Abbastanza","Messaggi o chat","Suggerimenti predefiniti","Spesso","Si","No",""
"2025/06/17 7:40:31 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Al mattino;Durante le pause","3-5 ore al giorno","Poco","Messaggi o chat","Seleziona tu i tuoi interessi","Mai","No","Si",""
"2025/06/17 8:07:13 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Prima di dormire","5+ ore al giorno","Abbastanza","Messaggi o chat","Sfide o missioni giornaliere","Qualche volta","Si","Si",""
"2025/06/17 8:14:53 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause","1-3 ore al giorno","Poco","Messaggi o chat","Suggerimenti predefiniti","Spesso","Si","No",""
"2025/06/17 8:35:11 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause","5+ ore al giorno","Abbastanza","Notifiche dai social;Messaggi o chat","Seleziona tu i tuoi interessi","Spesso","Si","No",""
"2025/06/17 8:40:48 PM EEST","Streaming (Youtube, Netflix, Dazn,...)","Al mattino;Durante le pause;Durante i pasti;Prima di dormire","5+ ore al giorno","Molto","Messaggi o chat","Sfide o missioni giornaliere;Suggerimenti predefiniti;Seleziona tu i tuoi interessi","Sempre","Si","Si","Come ridurre e/o ottimizzarne l’uso quotidiano."
"2025/06/17 9:42:27 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Prima di dormire","5+ ore al giorno","Molto","Messaggi o chat","Seleziona tu i tuoi interessi","Qualche volta","Si","Si",""
"2025/06/17 9:59:42 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Al mattino","3-5 ore al giorno","Poco","Giochi o app di intrattenimento","Sfide o missioni giornaliere","Qualche volta","No","Si",""
"2025/06/17 10:00:03 PM EEST","Streaming (Youtube, Netflix, Dazn,...)","Durante le pause","Meno di un'ora al giorno","Poco","Messaggi o chat","Suggerimenti predefiniti","Qualche volta","No","No",""
"2025/06/17 10:01:11 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause","1-3 ore al giorno","Abbastanza","Messaggi o chat","Seleziona tu i tuoi interessi","Qualche volta","No","Si",""
"2025/06/17 10:54:35 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Durante le pause","3-5 ore al giorno","Molto","Messaggi o chat","Suggerimenti predefiniti","Spesso","Si","Si",""
"2025/06/17 11:40:13 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause","1-3 ore al giorno","Abbastanza","Messaggi o chat","Sfide o missioni giornaliere","Spesso","Si","No",""
"2025/06/17 11:55:57 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Al mattino;Durante i pasti;Prima di dormire","3-5 ore al giorno","Molto","Messaggi o chat;Promemoria o avvisi di calendario","Suggerimenti predefiniti","Qualche volta","Si","Si",""
"2025/06/18 12:44:01 AM EEST","Giochi","La sera","Meno di un'ora al giorno","Per niente","Messaggi o chat","Seleziona tu i tuoi interessi","Mai","No","No",""
"2025/06/18 9:27:36 AM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Al mattino;Durante le pause;Durante i pasti;Prima di dormire","3-5 ore al giorno","Abbastanza","Messaggi o chat","Seleziona tu i tuoi interessi","Spesso","No","Si",""
"2025/06/18 9:54:33 AM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Prima di dormire","3-5 ore al giorno","Molto","Messaggi o chat;Promemoria o avvisi di calendario","Sfide o missioni giornaliere","Spesso","Si","No",""
"2025/06/18 3:19:22 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Prima di dormire","3-5 ore al giorno","Molto","Messaggi o chat","Suggerimenti predefiniti;Seleziona tu i tuoi interessi","Sempre","Si","Si",""
"2025/06/18 6:21:35 PM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Durante le pause;Prima di dormire","1-3 ore al giorno","Abbastanza","Messaggi o chat","Seleziona tu i tuoi interessi","Qualche volta","Si","No",""
"2025/06/19 12:40:08 AM EEST","Streaming (Youtube, Netflix, Dazn,...)","Durante le pause;Prima di dormire","1-3 ore al giorno","Abbastanza","Messaggi o chat","Seleziona tu i tuoi interessi","Spesso","No","Si","Lo smartphone è il mezzo attraverso cui mi tengo in contatto con amici e familiari, sono abituato a rispondere immediatamente a qualsiasi messaggio riceva perché ogni messaggio può richiedere una risposta urgente"
"2025/06/19 1:41:33 AM EEST","Messaggistica (Whatsapp, Telegram, ...)","Durante le pause","1-3 ore al giorno","Poco","Messaggi o chat","Seleziona tu i tuoi interessi","Spesso","Si","Si",""
"2025/06/19 8:13:53 AM EEST","Social Networks (Facebook, Instagram, TikTok,...)","Al mattino;Prima di dormire","3-5 ore al giorno","Abbastanza","Messaggi o chat","Suggerimenti predefiniti","Spesso","Si","Si",""
"2025/06/19 3:57:08 PM EEST","Messaggistica (Whatsapp, Telegram, ...)","Durante le pause;Prima di dormire","3-5 ore al giorno","Per niente","Messaggi o chat;Promemoria o avvisi di calendario","Sfide o missioni giornaliere;Seleziona tu i tuoi interessi","Qualche volta","No","Si",""
